"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @lucianoPCdoB: Hillary Clinton e Donald Trump elevam o tom das baixarias na eleição presidencial nos Estados Unidos.O povo norte-america…",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630993906475008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WWandayk",1,TRUE,FALSE,NA,NA
"2","RT @rezaaslan: Memo to news networks praising trump for his ""performance"" last night.  https://t.co/tWn0wfdi9g",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630993453608960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FoxNewsFan",21,TRUE,FALSE,NA,NA
"3","Dear Donald Trump: Some gentlemanly advice https://t.co/tJnXNjiDTn @mashable",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630993235390464",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","KBContentWriter",0,FALSE,FALSE,NA,NA
"4","Warren Buffett stuffs Donald Trump's tax lies right back in his orange-tinted face https://t.co/hWZ8Dh7Na2",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630993096900608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UdnSpeak4me",1,FALSE,FALSE,NA,NA
"5","https://t.co/up9LbAacU3?    Locker room talk described by a person who knows.",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630992849473537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PeriArnold",0,FALSE,FALSE,NA,NA
"6","RT @glennbeck: Donald Trump’s Best Moment Made Anderson Cooper Chastise the Audience https://t.co/kk6cDP9UTI https://t.co/bClJ0HMxqj",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630992753123329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KelleyNorth",55,TRUE,FALSE,NA,NA
"7","@mashable Regular guy Donald Trump calls himself a 'blue-collar worker' at rally: After the stress ... https://t.co/Q0gcmyLKC1 #mashable",FALSE,0,"mashable",2016-10-10 23:59:59,FALSE,NA,"785630992585203713","972651","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","aaljaouni",0,FALSE,FALSE,NA,NA
"8","RT @ananavarro: Should Donald Trump drop out of the race? Yes. He should drop out of the human race. 

He is an animal. Apologies to animal…",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630992312766464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pootin_Mayhem",44165,TRUE,FALSE,NA,NA
"9","Dear Donald Trump: Some gentlemanly advice https://t.co/4maL22Yvt5",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630991809478657",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","stickyhut",0,FALSE,FALSE,NA,NA
"10","Dear Donald Trump: Some gentlemanly advice: Dear Donald — I was delighted to hear your declaration at Sunday ... https://t.co/LxUflSKx6z",FALSE,0,NA,2016-10-10 23:59:59,FALSE,NA,"785630991771545601",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","HMBangash",0,FALSE,FALSE,NA,NA
