"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","What a shame, Donald Trump! USES A WOMAN AT ALL.",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268606347120640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gramich",0,FALSE,FALSE,NA,NA
"2","What a P.O.S.!! So glad you did this you old fool, you have just handed this election to #HillaryClinton  Donald Trump. #ImWithHer",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268605814308864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","charmed118",0,FALSE,FALSE,NA,NA
"3","Donald Trumps appears with women who have accused Bill Clinton of sexual misconduct: Donald Trump appeared wi... https://t.co/rRLDxFVYvs",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268605663350785",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","gold_tsunami",0,FALSE,FALSE,NA,NA
"4","RT @BBCBreaking: Ahead of US presidential debate, Donald Trump appears with women who accuse Bill Clinton of sexual assault https://t.co/yw…",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268605181124608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DavidSShaw13",1537,TRUE,FALSE,NA,NA
"5","#Noticias Donald Trump ofrece una rueda de prensa con mujeres que acusaron a Bill Clinto... https://t.co/YH2ksGtFS3 vía @DeLeonenCumbre",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268605180977152",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","DeLeonenCumbre",0,FALSE,FALSE,NA,NA
"6","RT @MsTaraDowdell: There is no bar too low for Donald Trump... #debate",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268605076250624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BabsHoge",39,TRUE,FALSE,NA,NA
"7","RT @CNN: Donald Trump in 1999: Hillary Clinton has ""been through more than any woman should have to bear"" https://t.co/60i3ieeXlL https://t…",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268604933705728",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","Tolu_MTA",2187,TRUE,FALSE,NA,NA
"8","RT @CrowdFundGurus: Check out ""Donald Trump Your President"" #Trump2016 #TrumpTrain by Rick Poppe - https://t.co/mW0YLUk6aZ",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268604912726016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","subbotinarober5",3115,TRUE,FALSE,NA,NA
"9","RT @MSNBC: Donald Trump just held a Facebook Live with Bill Clinton accusers ahead of tonight's #debate https://t.co/36yHX3AULE https://t.c…",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268604900171776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bworrall2",121,TRUE,FALSE,NA,NA
"10","RT @CrowdFundGurus: Check out ""Donald Trump Your President"" #Trump2016 #TrumpTrain by Rick Poppe - https://t.co/mW0YLUk6aZ",FALSE,0,NA,2016-10-09 23:59:59,FALSE,NA,"785268604623138816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zoryalarionova1",3115,TRUE,FALSE,NA,NA
"11","Donald Trump concludes his 'debate prep' by appearing with Bill Clinton accusers https://t.co/ixuFXgBiII",FALSE,1,NA,2016-10-09 23:59:59,FALSE,NA,"785268604593905669",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bmangh",1,FALSE,FALSE,NA,NA
