"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2480","RT @iLuvMilesOcampo: #MMKSenatorMiriam #MMK25 #TessieTomas @dprincessmaja @milesocampo @MMKOfficial  https://t.co/8iFock5e6P https://t.co/m‚Ä¶",FALSE,0,NA,2016-10-05 14:16:24,FALSE,NA,"783672191174844416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EiziaLove",14,TRUE,FALSE,NA,NA
"2481","RT @senmiriam: Senator Miriam Defensor Santiago died peacefully today at 8:52 a.m. Details of the interment will be announced later. (1/2)",FALSE,0,NA,2016-10-05 14:15:32,FALSE,NA,"783671970734891010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClamorEj",10632,TRUE,FALSE,NA,NA
"2482","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 14:14:30,FALSE,NA,"783671711925362688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LesterTuason",533,TRUE,FALSE,NA,NA
"2483","RT @MMKOfficial: Bilang isang pagpupugay, ating balikan ang kwento ni Senator Miriam Defensor-Santiago ngayong Sabado. #MMKSenatorMiriam #M‚Ä¶",FALSE,0,NA,2016-10-05 14:10:21,FALSE,NA,"783670667082203136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeidaSeramur",97,TRUE,FALSE,NA,NA
"2484","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-05 14:05:19,FALSE,NA,"783669400561864704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kyungspeare",61,TRUE,FALSE,NA,NA
"2485","14 Inspirational Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/9ZtEabZiBV via (REST WELL!)",FALSE,0,NA,2016-10-05 14:00:57,FALSE,NA,"783668299762589696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","itsmefatimamaaa",0,FALSE,FALSE,NA,NA
"2486","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 14:00:01,FALSE,NA,"783668068073345024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keen_kyungsoo",533,TRUE,FALSE,NA,NA
"2487","I liked a @YouTube video https://t.co/yn0om9Gqlc Reporter‚Äôs Notebook: Paalam, Miriam Defensor Santiago",FALSE,0,NA,2016-10-05 13:58:02,FALSE,NA,"783667566740905988",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","CarloPabale92",0,FALSE,FALSE,NA,NA
"2488","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 13:50:37,FALSE,NA,"783665701575766017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonamnl",533,TRUE,FALSE,NA,NA
"2489","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 13:34:52,FALSE,NA,"783661735924293635",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","susanople",533,TRUE,FALSE,NA,NA
"2490","RT @BLACKPINK_PH: Rest in Peace Sen. Miriam Defensor-Santiago. Best President we never had. Ì†ΩÌπèÌ†ΩÌπèÌ†ΩÌπè https://t.co/n80iRTUIYI",FALSE,0,NA,2016-10-05 13:33:24,FALSE,NA,"783661367635038209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eliryzsmile",57,TRUE,FALSE,NA,NA
"2491","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-05 13:31:12,FALSE,NA,"783660812980351008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tewitewtweet",61,TRUE,FALSE,NA,NA
"2492","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 13:23:43,FALSE,NA,"783658932770398208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andrea_rd1130",533,TRUE,FALSE,NA,NA
"2493","14 Inspirational Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/R1142Twv2Y via @buzzfeed",FALSE,0,NA,2016-10-05 13:23:13,FALSE,NA,"783658803745001472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jholitonjua",0,FALSE,FALSE,NA,NA
"2494","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 13:20:24,FALSE,NA,"783658094920241152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","altheasamanthaa",533,TRUE,FALSE,NA,NA
"2495","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 13:12:46,FALSE,NA,"783656174319128577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","symonsioson",533,TRUE,FALSE,NA,NA
"2496","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 13:07:01,FALSE,NA,"783654726545969153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Meltajonera01",533,TRUE,FALSE,NA,NA
"2497","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 13:03:02,FALSE,NA,"783653725252354049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dyosella",533,TRUE,FALSE,NA,NA
"2498","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-05 12:59:22,FALSE,NA,"783652803503878144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KWIninamo",533,TRUE,FALSE,NA,NA
